Review,Brand,Variety,Style,Country,Stars,Count,Average,Count_no
2087,Nissin,Mie Goreng Indonesia Stir Noodle Original Flavour,Pack,Hong Kong,4,234,3.8018248175182485,77
2086,Nissin,Demae Ramen Sesame Flavour Instant Noodles,Pack,Hong Kong,5,234,3.8018248175182485,77
2084,Nissin,Demae Ramen Straight Noodle Kyushu Tonkotsu Instant Noodle,Pack,Hong Kong,5,234,3.8018248175182485,77
2083,Nissin,Taisho Fried Noodle Sesame Paste Flavour Instant Noodle,Pack,Hong Kong,5,234,3.8018248175182485,77
2082,Nissin,Cup Noodles Pork Chowder Flavour,Cup,Hong Kong,4,234,3.8018248175182485,99
2081,Nissin,Cup Mifun Spicy Beef Flavour,Cup,Hong Kong,4,234,3.8018248175182485,99
2079,Nissin,Nupasta Carbonara Flavour Instant Noodle,Cup,Hong Kong,5,234,3.8018248175182485,99
2078,Nissin,Demae Iccho Curry Beef Flavour,Cup,Hong Kong,4,234,3.8018248175182485,99
2077,Nissin,Cup Noodles Big Spicy Seafood Flavour,Cup,Hong Kong,5,234,3.8018248175182485,99
2076,Nissin,Demae Iccho Black Garlic Oil Tonkotsu,Bowl,Hong Kong,3.75,234,3.8018248175182485,54
2060,Nissin,Cup Noodle Light+ Cheese Fondue,Cup,Japan,5,234,3.981605113636364,99
2055,Nissin,Tokyo Tokunou Gyokai Tonkotsu,Bowl,Japan,5,234,3.981605113636364,54
2027,Nissin,Shinshu Miso Ramen,Bowl,Japan,5,234,3.981605113636364,54
2004,Nissin,Donbei Dashi Shoyu Yakiudon,Bowl,Japan,3.75,234,3.981605113636364,54
2003,Nissin,Raoh Rich Miso Flavor,Bowl,Japan,5,234,3.981605113636364,54
2002,Nissin,Cup Noodles Tom Yum Goong,Cup,Japan,3.8,234,3.981605113636364,99
2001,Nissin,Cup Noodle Big Seafood Clam Chowder,Cup,Japan,4,234,3.981605113636364,99
2000,Nissin,Chikin Ramen Donburi,Bowl,Japan,5,234,3.981605113636364,54
1999,Nissin,Curry Udon,Cup,Japan,5,234,3.981605113636364,99
1998,Nissin,Men Shokunin Shoyu,Bowl,Japan,5,234,3.981605113636364,54
1997,Nissin,Cup Noodle Vegeta Buta-kyabetsu Tonkotsu,Cup,Japan,4.3,234,3.981605113636364,99
1996,Nissin,Cup Noodle Pasta Style Tarako Spaghetti,Cup,Japan,4,234,3.981605113636364,99
1995,Nissin,Cup Noodle Big Cheese Mexican Chilli,Cup,Japan,5,234,3.981605113636364,99
1994,Nissin,Gyoretsu-no-Dekiru-Mise-no-Ramen (Shrimp Tantanmen),Bowl,Japan,5,234,3.981605113636364,54
1993,Nissin,Raoh Tonkotsu,Pack,Japan,5,234,3.981605113636364,77
1992,Nissin,Cup Noodle Light Plus Ratatouille,Cup,Japan,4.5,234,3.981605113636364,99
1991,Nissin,Cup Noodle Milk Chikin Ramen,Cup,Japan,5,234,3.981605113636364,99
1990,Nissin,Cup Noodle,Cup,Japan,5,234,3.981605113636364,99
1987,Nissin,Yokohama Walker Iekei Ramen,Bowl,Japan,4.5,234,3.981605113636364,54
1984,Nissin,Chinese Tan Tan Vermicelli,Cup,Hong Kong,5,234,3.8018248175182485,99
